[run number],number-strategies,memory-size,overcrowding-threshold,avg-attendance,attendance
1,10,10,40,48.50980392,46
1,10,10,40,48.50611247,47
1,10,10,40,48.52926829,58
1,10,10,40,48.513382,42
1,10,10,40,48.49757282,42
1,10,10,40,48.5157385,56
1,10,10,40,48.50966184,46
1,10,10,40,48.50120482,45
1,10,10,40,48.49038462,44
1,10,10,40,48.50839329,56
1,10,10,40,48.51674641,52
1,10,10,40,48.51551313,48
1,10,10,40,48.5,42
1,10,10,40,48.51543943,55
1,10,10,40,48.5,42
1,10,10,40,48.5035461,50
1,10,10,40,48.49292453,44
1,10,10,40,48.51058824,56
1,10,10,40,48.49530516,42
1,10,10,40,48.48711944,45
1,10,10,40,48.49065421,50
1,10,10,40,48.50815851,56
1,10,10,40,48.50697674,48
1,10,10,40,48.49419954,43
1,10,10,40,48.50694444,54
1,10,10,40,48.5034642,47
1,10,10,40,48.50230415,48
1,10,10,40,48.48505747,41
1,10,10,40,48.50688073,58
1,10,10,40,48.49199085,42
1,10,10,40,48.48630137,46
1,10,10,40,48.46924829,41
1,10,10,40,48.48863636,57
1,10,10,40,48.48979592,49
1,10,10,40,48.49547511,51
1,10,10,40,48.48532731,44
1,10,10,40,48.49774775,54
1,10,10,40,48.4988764,49
1,10,10,40,48.48878924,44
1,10,10,40,48.50111857,54
1,10,10,40,48.50446429,50
1,10,10,40,48.50334076,48
1,10,10,40,48.47555556,36
1,10,10,40,48.48780488,54
1,10,10,40,48.48672566,48
1,10,10,40,48.49889625,54
1,10,10,40,48.469163,35
1,10,10,40,48.49230769,59
1,10,10,40,48.49561404,50
1,10,10,40,48.49234136,47
1,10,10,40,48.49781659,51
1,10,10,40,48.51416122,56
1,10,10,40,48.51956522,51
1,10,10,40,48.4967462,38
1,10,10,40,48.4978355,49
1,10,10,40,48.50107991,50
1,10,10,40,48.50862069,52
1,10,10,40,48.47311828,32
1,10,10,40,48.49356223,58
1,10,10,40,48.49036403,47
1,10,10,40,48.5,53
1,10,10,40,48.48614072,42
1,10,10,40,48.50638298,58
1,10,10,40,48.50530786,48
1,10,10,40,48.51483051,53
1,10,10,40,48.50528541,44
1,10,10,40,48.51265823,52
1,10,10,40,48.52,52
1,10,10,40,48.49369748,36
1,10,10,40,48.50733753,55
1,10,10,40,48.5083682,49
1,10,10,40,48.51356994,51
1,10,10,40,48.5,42
1,10,10,40,48.5031185,50
1,10,10,40,48.50207469,48
1,10,10,40,48.52173913,58
1,10,10,40,48.50206612,39
1,10,10,40,48.52164948,58
1,10,10,40,48.52469136,50
1,10,10,40,48.51540041,44
1,10,10,40,48.5204918,51
1,10,10,40,48.52147239,49
1,10,10,40,48.52857143,52
1,10,10,40,48.51120163,40
1,10,10,40,48.51219512,49
1,10,10,40,48.50709939,46
1,10,10,40,48.52226721,56
