attendance,avg-attendance
53.0,51.83965015
52.0,51.84011628
55.0,51.84927536
51.0,51.84682081
51.0,51.8443804
50.0,51.83908046
52.0,51.83954155
53.0,51.84285714
53.0,51.84615385
53.0,51.84943182
52.0,51.84985836
50.0,51.84463277
53.0,51.84788732
51.0,51.84550562
54.0,51.85154062
50.0,51.84636872
53.0,51.84958217
49.0,51.84166667
54.0,51.84764543
50.0,51.84254144
53.0,51.84573003
51.0,51.84340659
54.0,51.84931507
51.0,51.84699454
51.0,51.84468665
52.0,51.8451087
52.0,51.84552846
54.0,51.85135135
52.0,51.85175202
50.0,51.84677419
51.0,51.84450402
53.0,51.84759358
52.0,51.848
55.0,51.85638298
51.0,51.85411141
51.0,51.85185185
50.0,51.8469657
52.0,51.84736842
53.0,51.8503937
53.0,51.85340314
53.0,51.85639687
52.0,51.85677083
50.0,51.85194805
53.0,51.85492228
51.0,51.85271318
54.0,51.85824742
50.0,51.85347044
53.0,51.85641026
49.0,51.84910486
54.0,51.85459184
50.0,51.84987277
53.0,51.85279188
51.0,51.85063291
54.0,51.85606061
51.0,51.85390428
51.0,51.85175879
52.0,51.85213033
52.0,51.8525
54.0,51.85785536
52.0,51.85820896
50.0,51.85359801
51.0,51.85148515
53.0,51.85432099
52.0,51.8546798
55.0,51.86240786
51.0,51.86029412
51.0,51.85819071
50.0,51.85365854
52.0,51.8540146
53.0,51.85679612
53.0,51.85956416
53.0,51.86231884
52.0,51.8626506
50.0,51.85817308
53.0,51.86091127
51.0,51.85885167
54.0,51.86396181
50.0,51.85952381
53.0,51.86223278
49.0,51.85545024
54.0,51.86052009
50.0,51.85613208
53.0,51.85882353
51.0,51.85680751
54.0,51.8618267
51.0,51.85981308
51.0,51.85780886
52.0,51.85813953
52.0,51.85846868
54.0,51.86342593
52.0,51.86374134
50.0,51.859447
51.0,51.85747126
53.0,51.86009174
52.0,51.8604119
55.0,51.86757991
51.0,51.86560364
51.0,51.86363636
50.0,51.85941043
52.0,51.85972851
53.0,51.86230248
53.0,51.86486486
53.0,51.86741573
52.0,51.867713
50.0,51.86353468
53.0,51.86607143
51.0,51.86414254
54.0,51.86888889
50.0,51.86474501
53.0,51.86725664
49.0,51.86092715
54.0,51.86563877
50.0,51.86153846
53.0,51.86403509
51.0,51.86214442
54.0,51.86681223
51.0,51.86492375
51.0,51.86304348
52.0,51.86334056
52.0,51.86363636
54.0,51.86825054
52.0,51.86853448
50.0,51.86451613
51.0,51.86266094
53.0,51.86509636
52.0,51.86538462
55.0,51.87206823
51.0,51.87021277
51.0,51.86836518
50.0,51.86440678
52.0,51.86469345
53.0,51.86708861
53.0,51.86947368
53.0,51.87184874
52.0,51.8721174
50.0,51.86820084
53.0,51.87056367
51.0,51.86875
54.0,51.87318087
50.0,51.86929461
53.0,51.87163561
49.0,51.86570248
54.0,51.87010309
50.0,51.86625514
53.0,51.86858316
51.0,51.86680328
54.0,51.87116564
51.0,51.86938776
51.0,51.86761711
52.0,51.86788618
52.0,51.86815416
54.0,51.87246964
52.0,51.87272727
50.0,51.86895161
51.0,51.86720322
53.0,51.86947791
52.0,51.86973948
57.0,0.0
59.0,0.0
50.0,50.0
68.0,59.0
69.0,62.33333333
49.0,59.0
57.0,58.6
62.0,59.16666667
56.0,58.71428571
63.0,59.25
63.0,59.66666667
55.0,59.2
62.0,59.45454545
60.0,59.5
58.0,59.38461538
58.0,59.28571429
61.0,59.4
60.0,59.4375
60.0,59.47058824
60.0,59.5
59.0,59.47368421
60.0,59.5
60.0,59.52380952
60.0,59.54545455
60.0,59.56521739
60.0,59.58333333
60.0,59.6
60.0,59.61538462
60.0,59.62962963
60.0,59.64285714
60.0,59.65517241
60.0,59.66666667
60.0,59.67741935
60.0,59.6875
60.0,59.6969697
60.0,59.70588235
60.0,59.71428571
60.0,59.72222222
60.0,59.72972973
60.0,59.73684211
60.0,59.74358974
60.0,59.75
60.0,59.75609756
60.0,59.76190476
60.0,59.76744186
60.0,59.77272727
60.0,59.77777778
60.0,59.7826087
60.0,59.78723404
60.0,59.79166667
60.0,59.79591837
60.0,59.8
60.0,59.80392157
60.0,59.80769231
60.0,59.81132075
60.0,59.81481481
60.0,59.81818182
60.0,59.82142857
60.0,59.8245614
60.0,59.82758621
60.0,59.83050847
60.0,59.83333333
60.0,59.83606557
60.0,59.83870968
60.0,59.84126984
60.0,59.84375
60.0,59.84615385
60.0,59.84848485
60.0,59.85074627
60.0,59.85294118
60.0,59.85507246
60.0,59.85714286
60.0,59.85915493
60.0,59.86111111
60.0,59.8630137
60.0,59.86486486
60.0,59.86666667
60.0,59.86842105
60.0,59.87012987
60.0,59.87179487
60.0,59.87341772
60.0,59.875
60.0,59.87654321
60.0,59.87804878
60.0,59.87951807
60.0,59.88095238
60.0,59.88235294
60.0,59.88372093
60.0,59.88505747
60.0,59.88636364
60.0,59.88764045
60.0,59.88888889
60.0,59.89010989
60.0,59.89130435
60.0,59.89247312
60.0,59.89361702
60.0,59.89473684
60.0,59.89583333
60.0,59.89690722
60.0,59.89795918
60.0,59.8989899
60.0,59.9
60.0,59.9009901
60.0,59.90196078
