std,[run number]
0.141421356,1.0
6.2055382,1.0
3.683891459,1.0
2.263510294,1.0
7.193709638,1.0
6.929646456,1.0
1.551441833,1.0
5.504788275,1.0
0.856869343,1.0
2.970226613,1.0
4.372748335,1.0
2.691143095,1.0
0.136919881,1.0
3.389622983,1.0
2.675438322,1.0
2.268324122,1.0
3.672872231,1.0
0.568276916,1.0
0.138467385,1.0
4.09348535,1.0
4.082852921,1.0
1.569923605,1.0
2.976426218,1.0
2.968755017,1.0
1.2706109,1.0
2.677940297,1.0
6.197582965,1.0
1.576559507,1.0
2.98316296,1.0
5.796839856,1.0
2.681635337,1.0
1.264221215,1.0
4.787665058,1.0
0.8670053,1.0
2.980836105,1.0
5.794740072,1.0
2.683831723,1.0
1.266459907,1.0
4.790078195,1.0
0.159274052,1.0
3.685684976,1.0
5.087337211,1.0
3.389595406,1.0
0.145580808,1.0
4.087042618,1.0
0.550163569,1.0
2.272720336,1.0
5.794156537,1.0
4.095398113,1.0
0.85228571,1.0
6.203797085,1.0
0.159778936,1.0
2.981040099,1.0
6.500984115,1.0
4.801238168,1.0
0.8535789,1.0
6.20272053,1.0
0.866289587,1.0
1.569676755,1.0
6.504048223,1.0
4.092900428,1.0
0.854835663,1.0
5.496223435,1.0
0.545199154,1.0
2.277905761,1.0
5.79992004,1.0
2.679130797,1.0
0.854420694,1.0
5.496816225,1.0
1.956763235,1.0
1.575141313,1.0
5.098953486,1.0
0.148864586,1.0
0.148524712,1.0
4.79028603,1.0
4.073899296,1.0
0.873862122,1.0
4.399420019,1.0
3.683978445,1.0
1.262918193,1.0
2.671115728,1.0
6.19273338,1.0
0.876369478,1.0
4.402055386,1.0
5.80331512,1.0
2.67600633,1.0
