std,overcrowding-threshold
0.145580808,40.0
4.087042618,40.0
0.550163569,40.0
2.272720336,40.0
5.794156537,40.0
4.095398113,40.0
0.85228571,40.0
6.203797085,40.0
0.159778936,40.0
2.981040099,40.0
6.500984115,40.0
4.801238168,40.0
0.8535789,40.0
6.20272053,40.0
0.866289587,40.0
1.569676755,40.0
6.504048223,40.0
4.092900428,40.0
0.854835663,40.0
5.496223435,40.0
0.545199154,40.0
2.277905761,40.0
5.79992004,40.0
2.679130797,40.0
0.854420694,40.0
5.496816225,40.0
1.956763235,40.0
1.575141313,40.0
5.098953486,40.0
0.148864586,40.0
0.148524712,40.0
4.79028603,40.0
4.073899296,40.0
0.873862122,40.0
4.399420019,40.0
3.683978445,40.0
1.262918193,40.0
2.671115728,40.0
6.19273338,40.0
0.876369478,40.0
4.402055386,40.0
5.80331512,40.0
2.67600633,40.0
1.258995001,40.0
6.195006313,40.0
0.874127588,40.0
5.105497861,40.0
5.094276986,40.0
4.089124083,40.0
0.153180681,40.0
6.197219694,40.0
3.694209284,40.0
2.275039209,40.0
7.209114689,40.0
6.918014396,40.0
1.563881952,40.0
5.495316924,40.0
0.866776054,40.0
2.981684174,40.0
4.386484679,40.0
2.678846844,40.0
0.149261346,40.0
3.379067725,40.0
2.66628799,40.0
2.27862164,40.0
3.68502794,40.0
0.556436349,40.0
0.150353231,40.0
4.083690213,40.0
4.075129018,40.0
1.578416183,40.0
2.986382084,40.0
2.980160455,40.0
1.259855533,40.0
2.668521234,40.0
6.191210306,40.0
1.583685436,40.0
2.991717763,40.0
5.808169281,40.0
2.671614943,40.0
1.254824739,40.0
4.78056241,40.0
0.874503489,40.0
2.989722358,40.0
5.806323976,40.0
2.673523408,40.0
1.256760635,40.0
4.782613138,40.0
0.166797366,40.0
3.694881913,40.0
5.098836247,40.0
3.379658664,40.0
0.0,50.0
0.0,50.0
0.0,50.0
9.545941546,50.0
8.249579114,50.0
10.96015511,50.0
1.979898987,50.0
4.831896338,50.0
7.778174593,50.0
0.0,50.0
1.885618083,50.0
4.87903679,50.0
5.721136684,50.0
3.830161731,50.0
1.57739205,50.0
6.060915267,50.0
0.942809042,50.0
1.767766953,50.0
7.653391043,50.0
2.121320344,50.0
0.669890635,50.0
4.666904756,50.0
1.077496048,50.0
2.378450082,50.0
7.870405912,50.0
1.944543648,50.0
2.206173157,50.0
4.677783322,50.0
1.780861523,50.0
2.399112293,50.0
5.193577393,50.0
1.13137085,50.0
3.010906294,50.0
4.618291165,50.0
1.049946433,50.0
4.45061327,50.0
7.353910524,50.0
3.849803586,50.0
5.198190391,50.0
4.577586005,50.0
1.015332814,50.0
3.74766594,50.0
5.311924112,50.0
3.788072042,50.0
8.041284093,50.0
2.507014951,50.0
1.759910211,50.0
3.105121083,50.0
1.805379016,50.0
2.386485387,50.0
6.667006794,50.0
