avg-attendance,overcrowding-threshold
45.77661795,40.0
45.78541667,40.0
45.78170478,40.0
45.77385892,40.0
45.75569358,40.0
45.76033058,40.0
45.76907216,40.0
45.78600823,40.0
45.77823409,40.0
45.77459016,40.0
45.7607362,40.0
45.76326531,40.0
45.77189409,40.0
45.78861789,40.0
45.78093306,40.0
45.77732794,40.0
45.76363636,40.0
45.7641129,40.0
45.77464789,40.0
45.78915663,40.0
45.77955912,40.0
0.0,50.0
0.0,50.0
74.0,50.0
60.5,50.0
54.66666667,50.0
49.5,50.0
48.8,50.0
50.16666667,50.0
52.0,50.0
52.0,50.0
51.66666667,50.0
50.9,50.0
50.09090909,50.0
50.58333333,50.0
50.76923077,50.0
51.42857143,50.0
51.33333333,50.0
51.5,50.0
50.82352941,50.0
51.0,50.0
51.05263158,50.0
51.4,50.0
51.47619048,50.0
51.63636364,50.0
51.13043478,50.0
51.25,50.0
51.12,50.0
51.38461538,50.0
51.48148148,50.0
51.60714286,50.0
51.34482759,50.0
51.4,50.0
51.25806452,50.0
51.46875,50.0
51.51515152,50.0
51.70588235,50.0
51.4,50.0
51.55555556,50.0
51.35135135,50.0
51.52631579,50.0
51.56410256,50.0
51.7,50.0
51.51219512,50.0
51.64285714,50.0
51.37209302,50.0
51.45454545,50.0
51.51111111,50.0
51.60869565,50.0
51.55319149,50.0
51.625,50.0
51.42857143,50.0
51.52,50.0
51.47058824,50.0
51.61538462,50.0
51.62264151,50.0
51.72222222,50.0
51.50909091,50.0
51.60714286,50.0
